time,average_temp,motor_speed,heater_state
2001,30.33,255,0
4002,30.75,255,0
6003,30.58,255,0
8004,30.29,255,0
10005,30.21,255,0
12006,30.12,255,0
14007,30.00,255,0
16008,29.75,255,0
18009,29.67,255,0
20011,29.71,255,0
22012,29.50,255,0
24013,29.62,255,0
26014,29.64,255,0
28015,29.43,255,0
30016,29.21,255,0
32017,30.68,255,0
34018,31.82,255,0
36019,31.17,255,0
38020,36.43,255,0
40022,35.71,255,0
42023,34.36,255,0
44024,34.32,255,0
46025,37.04,255,0
48026,37.00,255,0
50027,36.36,255,1
52028,40.13,255,0
54029,41.29,255,0
56030,39.71,255,0
58031,39.96,255,0
60032,43.25,255,0
62033,42.36,255,0
64034,41.50,255,1
66035,44.18,255,0
68036,44.96,255,0
70037,44.08,255,0
72038,45.21,255,0
74039,44.79,255,1
76040,46.14,255,0
78041,48.14,255,0
80043,47.58,255,0
82044,49.14,255,0
84045,49.32,255,0
86046,50.13,255,0
88047,50.75,255,0
90048,51.79,255,0
92049,52.29,255,1
94050,53.04,255,0
96051,53.93,255,1
98052,55.50,255,0
100054,56.18,255,1
102055,55.61,255,1
104056,58.13,255,0
106057,58.61,255,1
108058,57.67,255,1
110059,59.79,255,0
112060,59.61,255,1
114061,60.96,255,0
116062,61.32,255,1
118063,62.96,255,0
120064,63.13,255,1
122065,63.61,255,0
124066,64.29,255,0
126067,64.96,255,1
128068,66.14,255,0
130069,66.82,255,1
132070,67.08,255,1
134071,68.96,255,0
136072,68.50,255,1
138073,69.93,255,1
140075,70.43,255,1
142076,70.25,255,1
144077,73.43,255,0
146078,73.14,255,0
148079,73.12,255,0
150080,74.11,255,1
152081,74.96,255,1
154082,75.25,255,1
156083,76.32,255,0
158084,77.68,255,0
160086,77.71,255,1
162087,78.46,255,0
164088,79.68,255,1
166089,80.08,255,1
168090,80.68,255,1
170091,81.62,255,0
172092,84.04,255,0
174093,82.64,255,1
176094,82.58,255,1
178095,85.04,255,0
180096,85.46,255,1
182097,85.54,255,1
184098,87.79,255,0
186099,87.50,255,1
188100,88.04,255,1
190101,89.25,255,1
192102,90.61,255,0
194103,90.67,255,1
196104,90.86,255,1
198105,92.54,255,0
200107,92.61,255,1
202108,93.79,255,0
204109,95.08,255,0
206110,94.79,255,1
208111,95.82,255,0
210112,97.58,255,1
212113,96.86,255,1
214114,97.68,255,1
