time,average_temp,target_temp,motor_speed,heater_state
2001,28.46,0.00,255,0
4002,29.46,0.00,255,0
6003,29.42,20.41,255,0
8004,29.18,21.28,255,0
10005,28.96,22.16,255,0
12006,28.79,23.03,255,0
14007,29.00,23.91,255,0
16008,28.64,24.79,255,0
18009,28.92,25.66,255,0
20011,28.86,26.54,255,0
22012,28.93,27.41,255,0
24013,28.71,28.29,255,0
26014,29.11,29.16,255,0
28015,33.46,30.04,255,0
30016,33.54,30.91,255,0
32017,31.96,31.79,255,1
34018,34.17,32.67,255,0
36019,35.50,33.54,255,0
38020,34.71,34.42,255,0
40022,37.38,35.29,255,0
42023,36.57,36.17,255,0
44024,43.43,37.04,255,0
46025,41.67,37.92,255,0
48026,39.36,38.79,255,0
50027,44.21,39.67,255,0
52028,42.08,40.54,255,0
54029,42.71,41.42,255,0
56030,45.89,42.30,255,0
58031,43.33,43.17,255,0
60032,51.93,44.05,255,0
62033,50.58,44.92,255,0
64034,45.89,45.80,255,0
66035,53.75,46.67,255,0
68036,52.00,47.55,255,0
70037,48.82,48.42,255,0
72038,54.21,49.30,255,0
74039,50.58,50.17,255,1
76040,55.86,51.05,255,0
78041,55.25,51.93,255,0
80043,53.08,52.80,255,0
82044,61.89,53.68,255,0
84045,57.43,54.55,255,1
86046,56.83,55.43,255,0
88047,62.61,56.30,255,0
90048,57.71,57.18,255,1
92049,62.00,58.05,255,0
94050,60.14,58.93,255,1
96051,63.46,59.81,255,0
98052,62.64,60.68,255,1
100054,65.14,61.56,255,0
102055,68.12,62.43,255,0
104056,62.07,63.31,255,1
106057,72.64,64.18,255,0
108058,70.58,65.06,255,0
110059,64.75,65.93,255,0
112060,72.00,66.81,255,0
114061,66.42,67.68,255,1
116062,73.68,68.56,255,0
118063,70.79,69.43,255,1
120064,71.86,70.31,255,0
122065,73.00,71.19,255,1
124066,72.87,72.06,255,0
126067,79.54,72.94,255,0
128068,72.32,73.81,255,1
130069,79.71,74.69,255,0
132070,78.04,75.56,255,1
134071,78.14,76.44,255,0
136072,79.42,77.31,255,1
138073,78.00,78.19,255,0
140075,84.39,79.06,255,0
142076,79.00,79.94,255,0
144077,85.39,80.82,255,0
146078,80.50,81.69,255,1
148079,88.18,82.57,255,0
150080,83.18,83.44,255,1
152081,87.12,84.32,255,0
154082,89.96,85.19,255,0
156083,83.79,86.07,255,0
158084,93.42,86.94,255,0
160086,87.14,87.82,255,1
162087,90.68,88.70,255,0
164088,91.87,89.57,255,1
166089,87.82,90.45,255,0
168090,98.43,91.32,255,0
170091,91.00,92.20,255,1
172092,95.07,93.07,255,0
174093,99.08,93.95,255,0
176094,92.00,94.82,255,1
178095,101.82,95.70,255,0
180096,96.42,96.57,255,1
182097,97.36,97.45,255,0
184098,98.89,98.33,255,1
186099,99.29,99.20,255,0
188100,102.39,100.08,255,1
190101,99.86,100.95,255,0
192102,107.08,101.83,255,0
194103,99.36,102.70,255,1
196104,108.00,103.58,255,0
198105,103.21,104.45,255,1
200107,105.96,105.33,255,0
202108,107.08,106.20,255,1
204109,104.89,107.08,255,0
206110,107.21,107.96,255,1
208111,106.08,108.83,255,1
210112,117.07,109.71,255,0
212113,107.93,110.58,255,1
214114,107.50,111.46,255,0
216115,117.11,112.33,255,0
218116,109.89,113.21,255,1
220118,116.12,114.08,255,0
222119,111.75,114.96,255,1
224120,116.93,115.83,255,0
226121,113.62,116.71,255,1
228122,118.46,117.59,255,1
230123,114.37,118.46,255,1
232124,123.46,119.34,255,0
234125,117.75,120.21,255,1
236126,123.12,121.09,255,0
238127,120.29,121.96,255,1
240128,121.21,122.84,255,0
